lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Edad,55-64,6
No sé/No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Edad,55-64,0
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Edad,65 y más,35
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Edad,65 y más,39
Ni satisfecho(a) ni insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",3,Edad,65 y más,9
Insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",4,Edad,65 y más,11
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Edad,65 y más,6
No sé/No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Edad,65 y más,0
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Edad,18-25,4
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Edad,18-25,14
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Edad,18-25,24
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Edad,18-25,4
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Edad,18-25,12
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Edad,18-25,5
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Edad,18-25,1
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Edad,18-25,6
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Edad,18-25,0
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Edad,18-25,0
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Edad,18-25,2
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Edad,18-25,3
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Edad,18-25,3
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Edad,18-25,3
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Edad,18-25,2
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Edad,18-25,11
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Edad,18-25,5
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Edad,26-34,5
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Edad,26-34,18
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Edad,26-34,20
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Edad,26-34,3
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Edad,26-34,11
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Edad,26-34,6
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Edad,26-34,2
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Edad,26-34,6
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Edad,26-34,0
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Edad,26-34,1
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Edad,26-34,2
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Edad,26-34,3
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Edad,26-34,3
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Edad,26-34,3
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Edad,26-34,2
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Edad,26-34,10
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Edad,26-34,3
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Edad,35-44,5
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Edad,35-44,34
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Edad,35-44,5
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Edad,35-44,3
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Edad,35-44,13
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Edad,35-44,5
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Edad,35-44,2
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Edad,35-44,5
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Edad,35-44,1
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Edad,35-44,1
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Edad,35-44,1
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Edad,35-44,4
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Edad,35-44,5
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Edad,35-44,4
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Edad,35-44,1
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Edad,35-44,9
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Edad,35-44,3
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Edad,45-54,3
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Edad,45-54,45
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Edad,45-54,0
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Edad,45-54,2
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Edad,45-54,14
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Edad,45-54,3
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Edad,45-54,1
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Edad,45-54,3
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Edad,45-54,2
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Edad,45-54,2
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Edad,45-54,1
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Edad,45-54,6
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Edad,45-54,7
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Edad,45-54,3
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Edad,45-54,0
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Edad,45-54,7
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Edad,45-54,1
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Edad,55-64,2
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Edad,55-64,50
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Edad,55-64,0
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Edad,55-64,1
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Edad,55-64,16
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Edad,55-64,1
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Edad,55-64,0
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Edad,55-64,1
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Edad,55-64,1
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Edad,55-64,3
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Edad,55-64,1
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Edad,55-64,8
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Edad,55-64,7
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Edad,55-64,2
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Edad,55-64,0
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Edad,55-64,5
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Edad,55-64,1
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Edad,65 y más,1
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Edad,65 y más,48
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Edad,65 y más,0
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Edad,65 y más,1
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Edad,65 y más,16
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Edad,65 y más,0
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Edad,65 y más,0
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Edad,65 y más,0
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Edad,65 y más,1
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Edad,65 y más,3
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Edad,65 y más,0
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Edad,65 y más,14
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Edad,65 y más,9
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Edad,65 y más,1
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Edad,65 y más,0
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Edad,65 y más,4
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Edad,65 y más,1
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Edad,18-25,31
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Edad,18-25,53
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Edad,18-25,8
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Edad,18-25,8
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Edad,26-34,32
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Edad,26-34,57
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Edad,26-34,6
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Edad,26-34,4
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Edad,35-44,29
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Edad,35-44,63
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Edad,35-44,4
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Edad,35-44,4
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Edad,45-54,29
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Edad,45-54,63
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Edad,45-54,5
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Edad,45-54,3
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Edad,55-64,31
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Edad,55-64,62
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Edad,55-64,3
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Edad,55-64,4
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Edad,65 y más,26
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Edad,65 y más,65
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Edad,65 y más,4
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Edad,65 y más,5
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Edad,18-25,22
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Edad,18-25,45
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Edad,18-25,24
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Edad,18-25,5
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Edad,18-25,3
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Edad,18-25,0
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Edad,26-34,25
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Edad,26-34,46
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Edad,26-34,20
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Edad,26-34,5
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Edad,26-34,3
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Edad,26-34,1
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Edad,35-44,28
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Edad,35-44,46
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Edad,35-44,18
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Edad,35-44,4
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Edad,35-44,3
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Edad,35-44,1
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Edad,45-54,31
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Edad,45-54,46
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Edad,45-54,15
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Edad,45-54,5
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Edad,45-54,2
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Edad,45-54,1
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Edad,55-64,37
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Edad,55-64,43
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Edad,55-64,13
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Edad,55-64,4
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Edad,55-64,2
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Edad,55-64,1
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Edad,65 y más,38
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Edad,65 y más,43
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Edad,65 y más,11
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Edad,65 y más,4
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Edad,65 y más,2
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Edad,65 y más,1
Sí,citapre,¿Programó su consulta mediante cita?,1,Edad,18-25,79
No,citapre,¿Programó su consulta mediante cita?,2,Edad,18-25,21
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Edad,18-25,1
Sí,citapre,¿Programó su consulta mediante cita?,1,Edad,26-34,78
No,citapre,¿Programó su consulta mediante cita?,2,Edad,26-34,22
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Edad,26-34,0
Sí,citapre,¿Programó su consulta mediante cita?,1,Edad,35-44,82
No,citapre,¿Programó su consulta mediante cita?,2,Edad,35-44,18
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Edad,35-44,0
Sí,citapre,¿Programó su consulta mediante cita?,1,Edad,45-54,88
No,citapre,¿Programó su consulta mediante cita?,2,Edad,45-54,12
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Edad,45-54,0
Sí,citapre,¿Programó su consulta mediante cita?,1,Edad,55-64,92
No,citapre,¿Programó su consulta mediante cita?,2,Edad,55-64,8
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Edad,55-64,0
Sí,citapre,¿Programó su consulta mediante cita?,1,Edad,65 y más,95
No,citapre,¿Programó su consulta mediante cita?,2,Edad,65 y más,5
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Edad,65 y más,0
1 a 15 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,1,Edad,18-25,16
16 a 30 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,2,Edad,18-25,35
31 a 45 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,3,Edad,18-25,19
46 a 60 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,4,Edad,18-25,13
Más de 60 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,5,Edad,18-25,16
No sabe/No responde,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,9999999,Edad,18-25,0
1 a 15 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,1,Edad,26-34,15
16 a 30 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,2,Edad,26-34,36
31 a 45 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,3,Edad,26-34,19
46 a 60 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,4,Edad,26-34,10
